,epidemic_season,cluster2_num,cluster2_proportion,cluster1_num,cluster1_proportion,cluster_predominant,num_predominant,year,season
0,1995-winter,1.0,1.0,0.0,0.0,cluster2,1.0,1995,winter
1,1996-winter,2.0,1.0,0.0,0.0,cluster2,2.0,1996,winter
2,1997-summer,3.0,1.0,0.0,0.0,cluster2,3.0,1997,summer
3,1997-winter,1.0,1.0,0.0,0.0,cluster2,1.0,1997,winter
4,1998-summer,2.0,1.0,0.0,0.0,cluster2,2.0,1998,summer
5,1998-winter,9.0,1.0,0.0,0.0,cluster2,9.0,1998,winter
6,1999-summer,4.0,1.0,0.0,0.0,cluster2,4.0,1999,summer
7,1999-winter,1.0,1.0,0.0,0.0,cluster2,1.0,1999,winter
8,2000-summer,2.0,1.0,0.0,0.0,cluster2,2.0,2000,summer
9,2000-winter,1.0,1.0,0.0,0.0,cluster2,1.0,2000,winter
10,2001-summer,3.0,1.0,0.0,0.0,cluster2,3.0,2001,summer
11,2001-winter,1.0,1.0,0.0,0.0,cluster2,1.0,2001,winter
12,2003-winter,1.0,1.0,0.0,0.0,cluster2,1.0,2003,winter
13,2004-summer,1.0,1.0,0.0,0.0,cluster2,1.0,2004,summer
14,2004-winter,5.0,1.0,0.0,0.0,cluster2,5.0,2004,winter
15,2005-summer,7.0,1.0,0.0,0.0,cluster2,7.0,2005,summer
16,2006-summer,2.0,1.0,0.0,0.0,cluster2,2.0,2006,summer
17,2007-summer,4.0,1.0,0.0,0.0,cluster2,4.0,2007,summer
18,2007-winter,1.0,0.5,1.0,0.5,cluster2,1.0,2007,winter
19,2008-summer,6.0,0.25,18.0,0.75,cluster1,18.0,2008,summer
20,2008-winter,0.0,0.0,3.0,1.0,cluster1,3.0,2008,winter
21,2009-summer,1.0,0.5,1.0,0.5,cluster2,1.0,2009,summer
22,2009-winter,0.0,0.0,2.0,1.0,cluster1,2.0,2009,winter
23,2010-summer,0.0,0.0,8.0,1.0,cluster1,8.0,2010,summer
24,2010-winter,0.0,0.0,4.0,1.0,cluster1,4.0,2010,winter
25,2011-summer,4.0,0.19047619047619047,17.0,0.8095238095238095,cluster1,17.0,2011,summer
26,2011-winter,3.0,0.375,5.0,0.625,cluster1,5.0,2011,winter
27,2012-summer,4.0,0.12121212121212122,29.0,0.8787878787878788,cluster1,29.0,2012,summer
28,2012-winter,18.0,0.47368421052631576,20.0,0.5263157894736842,cluster1,20.0,2012,winter
29,2013-summer,29.0,0.9354838709677419,2.0,0.06451612903225806,cluster2,29.0,2013,summer
30,2013-winter,22.0,0.7333333333333333,8.0,0.26666666666666666,cluster2,22.0,2013,winter
31,2014-summer,3.0,0.1111111111111111,24.0,0.8888888888888888,cluster1,24.0,2014,summer
32,2014-winter,3.0,0.045454545454545456,63.0,0.9545454545454546,cluster1,63.0,2014,winter
33,2015-summer,3.0,0.03488372093023256,83.0,0.9651162790697675,cluster1,83.0,2015,summer
34,2015-winter,8.0,0.15384615384615385,44.0,0.8461538461538461,cluster1,44.0,2015,winter
35,2016-summer,7.0,0.16666666666666666,35.0,0.8333333333333334,cluster1,35.0,2016,summer
36,2016-winter,0.0,0.0,24.0,1.0,cluster1,24.0,2016,winter
37,2017-summer,0.0,0.0,22.0,1.0,cluster1,22.0,2017,summer
38,2017-winter,0.0,0.0,102.0,1.0,cluster1,102.0,2017,winter
39,2018-summer,0.0,0.0,89.0,1.0,cluster1,89.0,2018,summer
40,2018-winter,0.0,0.0,15.0,1.0,cluster1,15.0,2018,winter
41,2019-summer,0.0,0.0,1.0,1.0,cluster1,1.0,2019,summer
42,2019-winter,0.0,0.0,14.0,1.0,cluster1,14.0,2019,winter
