,half_year,time_plot,BV_SR,BV_SR_abs,BY_SR,BY_SR_abs
0,1987-U,1987.25,,,,
1,1987-D,1987.75,,,,
2,1988-U,1988.25,,,,
3,1988-D,1988.75,,,,
4,1989-U,1989.25,,,,
5,1989-D,1989.75,,,,
6,1990-U,1990.25,,,,
7,1990-D,1990.75,,,,
8,1991-U,1991.25,7.070e-03,7.07,,
9,1991-D,1991.75,,,,
10,1992-U,1992.25,,,6.405e-03,6.405
11,1992-D,1992.75,1.389e-03,1.389,,
12,1993-U,1993.25,4.320e-02,43.2,,
13,1993-D,1993.75,3.285e-01,328.5,,
14,1994-U,1994.25,,,5.853e-04,0.5852999999999999
15,1994-D,1994.75,1.083e-01,108.3,,
16,1995-U,1995.25,-1.735e-01,173.5,2.663e-03,2.663
17,1995-D,1995.75,,,,
18,1996-U,1996.25,1.340e-02,13.4,4.939e-03,4.939
19,1996-D,1996.75,,,,
20,1997-U,1997.25,,,,
21,1997-D,1997.75,,,,
22,1998-U,1998.25,,,9.840e-03,9.84
23,1998-D,1998.75,,,-4.115e-04,0.4115
24,1999-U,1999.25,,,1.234e-02,12.34
25,1999-D,1999.75,,,,
26,2000-U,2000.25,,,2.663e-02,26.630000000000003
27,2000-D,2000.75,,,9.552e-03,9.552
28,2001-U,2001.25,2.424e-02,24.240000000000002,5.629e-02,56.29
29,2001-D,2001.75,,,,
30,2002-U,2002.25,6.571e-03,6.571,,
31,2002-D,2002.75,,,,
32,2003-U,2003.25,2.130e-03,2.13,,
33,2003-D,2003.75,,,,
34,2004-U,2004.25,,,,
35,2004-D,2004.75,,,,
36,2005-U,2005.25,7.836e-02,78.36,1.605e-03,1.605
37,2005-D,2005.75,3.219e-02,32.190000000000005,,
38,2006-U,2006.25,1.841e-04,0.1841,7.706e-04,0.7706
39,2006-D,2006.75,2.423e-03,2.4229999999999996,5.029e-03,5.029
40,2007-U,2007.25,3.213e-03,3.213,5.048e-04,0.5048
41,2007-D,2007.75,1.301e-03,1.3010000000000002,7.950e-03,7.95
42,2008-U,2008.25,6.090e-04,0.609,2.322e-03,2.322
43,2008-D,2008.75,-3.151e-04,0.3151,5.785e-04,0.5785
44,2009-U,2009.25,3.739e-03,3.7390000000000003,-4.149e-04,0.4149
45,2009-D,2009.75,7.093e-04,0.7092999999999999,-2.798e-04,0.27980000000000005
46,2010-U,2010.25,3.368e-04,0.3368,5.310e-03,5.31
47,2010-D,2010.75,3.869e-03,3.869,3.413e-04,0.3413
48,2011-U,2011.25,1.830e-04,0.183,1.159e-03,1.159
49,2011-D,2011.75,1.071e-03,1.071,5.293e-03,5.293
50,2012-U,2012.25,-3.059e-04,0.3059,4.361e-03,4.361000000000001
51,2012-D,2012.75,1.495e-05,0.01495,1.366e-03,1.366
52,2013-U,2013.25,1.057e-03,1.057,-3.268e-04,0.3268
53,2013-D,2013.75,-6.191e-04,0.6191,2.070e-03,2.07
54,2014-U,2014.25,3.314e-04,0.3314,-1.819e-04,0.1819
55,2014-D,2014.75,2.751e-03,2.751,1.040e-03,1.0399999999999998
56,2015-U,2015.25,2.186e-03,2.186,2.312e-03,2.312
57,2015-D,2015.75,2.532e-03,2.532,1.441e-03,1.441
58,2016-U,2016.25,1.716e-03,1.716,3.736e-03,3.736
59,2016-D,2016.75,8.864e-05,0.08864000000000001,3.558e-03,3.558
60,2017-U,2017.25,2.078e-03,2.078,7.971e-06,0.007971
61,2017-D,2017.75,2.100e-03,2.1,2.999e-03,2.999
62,2018-U,2018.25,1.964e-03,1.964,1.481e-03,1.4809999999999999
63,2018-D,2018.75,2.534e-03,2.534,1.480e-04,0.148
64,2019-U,2019.25,2.722e-03,2.722,1.391e-03,1.391
65,2019-D,2019.75,1.705e-03,1.7049999999999998,2.955e-03,2.955
66,2020-U,2020.25,5.329e-04,0.5329,1.164e-03,1.1640000000000001
67,2020-D,2020.75,-7.645e-03,7.645,,
68,2021-U,2021.25,6.719e-03,6.719,,
69,2021-D,2021.75,2.222e-03,2.222,,
70,2022-U,2022.25,5.650e-03,5.6499999999999995,,
71,2022-D,2022.75,2.051e-03,2.0509999999999997,,
72,2023-U,2023.25,2.686e-03,2.686,,
73,2023-D,2023.75,5.287e-03,5.287,,
